timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
37 29 95 0.398451069938209 0.0015489300617910207
39 21 56 0.3990904906205407 9.095093794593279E-4
44 20 52 0.3874957026902159 0.01250429730978414
50 27 85 0.39271997898958194 0.007280021010418081
51 27 85 0.39271997898958194 0.007280021010418081
54 53 85 0.39676306362278363 0.003236936377216393
83 8 83 0.3997248766245958 2.7512337540419596E-4
102 82 91 0.3894955630883601 0.010504436911639936
131 25 26 0.39729199683617933 0.0027080031638206936
132 65 76 0.39546870929035244 0.004531290709647584
149 24 40 0.39103786479823494 0.008962135201765087
150 24 40 0.39103786479823494 0.008962135201765087
151 21 60 0.3913413188257388 0.008658681174261218
155 20 61 0.3961134817437551 0.0038865182562449196
171 8 100 0.38987731347259497 0.010122686527405056
188 31 72 0.39501708147209325 0.004982918527906777
216 63 94 0.3953734411681028 0.004626558831897221
246 32 37 0.3910930015734109 0.008906998426589097
266 40 68 0.39540269478609824 0.004597305213901781
267 40 68 0.39540269478609824 0.004597305213901781
270 29 81 0.39541994743970327 0.0045800525602967546
271 29 81 0.39541994743970327 0.0045800525602967546
304 73 77 0.3977949420840257 0.0022050579159743067
325 6 82 0.3911956029919637 0.008804397008036313
337 1 55 0.3901777777747393 0.009822222225260746
387 27 93 0.3931578322403058 0.0068421677596942065
389 22 96 0.3999037697440836 9.623025591642964E-5
435 34 72 0.3986942721446159 0.0013057278553841312
436 34 72 0.3986942721446159 0.0013057278553841312
472 7 75 0.3999385755337835 6.142446621654196E-5
480 18 55 0.39283045179965553 0.007169548200344489
499 52 58 0.3926140017796549 0.007385998220345136
508 7 39 0.3901865241173024 0.009813475882697598
595 13 46 0.39951764420061214 4.823557993878791E-4
607 30 83 0.3968627449664323 0.0031372550335677096
641 44 50 0.39876160635336594 0.001238393646634084
665 4 5 0.39419679767612215 0.005803202323877876
666 10 86 0.3944068576360909 0.0055931423639091205
687 3 54 0.39377747755804504 0.006222522441954981
745 61 97 0.39569189456025045 0.004308105439749577
778 20 52 0.3954865274394418 0.004513472560558229
779 20 52 0.3954865274394418 0.004513472560558229
815 10 62 0.39399690750151345 0.006003092498486573
867 51 72 0.39094372351702966 0.00905627648297036
908 89 91 0.399069279290013 9.307207099870096E-4
930 20 29 0.3979201821146596 0.002079817885340396
931 20 29 0.3979201821146596 0.002079817885340396
944 71 90 0.3930264479298438 0.006973552070156208
946 71 82 0.3962434963599294 0.0037565036400706298
966 23 31 0.3940751614295893 0.0059248385704107065
1006 44 60 0.3934965198185596 0.006503480181440424
1009 1 20 0.39691267553119697 0.0030873244688030543
1010 1 20 0.39691267553119697 0.0030873244688030543
1010 56 70 0.39857456888065856 0.0014254311193414582
1019 28 31 0.3945686509131886 0.005431349086811421
1020 38 58 0.3920210880948878 0.00797891190511224
1021 38 58 0.3920210880948878 0.00797891190511224
1024 8 88 0.39931898492784434 6.810150721556774E-4
1025 8 88 0.39931898492784434 6.810150721556774E-4
1028 12 69 0.3917916924057115 0.008208307594288533
1065 43 79 0.3924620126170632 0.007537987382936817
1086 38 42 0.3968371562854453 0.0031628437145547195
1147 61 89 0.39992016173787354 7.983826212648593E-5
1153 35 38 0.3914872501209513 0.008512749879048709
1175 26 51 0.39166520464871346 0.008334795351286561
1176 26 71 0.3929967102102954 0.007003289789704603
1233 16 88 0.3978703817498368 0.0021296182501632233
1238 40 88 0.39473984454258626 0.005260155457413762
1239 40 88 0.39473984454258626 0.005260155457413762
1245 25 88 0.3934060942207486 0.006593905779251397
1246 86 88 0.3937155405350292 0.006284459464970804
1247 4 28 0.39824123177085247 0.001758768229147556
1278 19 82 0.399198318696294 8.016813037060033E-4
1279 19 82 0.3968086296855278 0.003191370314472197
1281 38 84 0.3928591895310959 0.007140810468904135
1395 39 78 0.39520121762697896 0.00479878237302106
1408 68 69 0.3972769628219996 0.0027230371780004314
1410 26 68 0.39950423421695913 4.957657830408913E-4
1411 12 79 0.39833107056097533 0.0016689294390246912
1412 12 79 0.39833107056097533 0.0016689294390246912
1430 10 97 0.39398059878535596 0.00601940121464406
1503 25 26 0.397456089163207 0.0025439108367930063
1527 15 73 0.39146661011275663 0.008533389887243392
1571 31 68 0.3921681924300294 0.007831807569970595
1626 35 91 0.3898817412991004 0.010118258700899607
