timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
18 7 45 0.39369891251023464 0.006301087489765378
18 64 100 0.39254939128687655 0.007450608713123474
19 7 45 0.39369891251023464 0.006301087489765378
19 64 100 0.39254939128687655 0.007450608713123474
23 76 100 0.39758553305921357 0.0024144669407864527
28 5 27 0.39544135820989623 0.00455864179010379
31 43 65 0.39634969720957364 0.003650302790426385
51 38 72 0.39802877649439333 0.0019712235056066896
58 1 43 0.39851204683742003 0.0014879531625799913
60 91 94 0.39754774286146344 0.0024522571385365843
61 45 70 0.3970390076575946 0.002960992342405433
67 87 89 0.3925363379945388 0.007463662005461225
72 26 97 0.39914642865644284 8.535713435571801E-4
84 20 55 0.39633727171828975 0.00366272828171027
91 39 53 0.39516850408758347 0.00483149591241655
92 6 47 0.39394512763573397 0.006054872364266051
107 68 85 0.3941235621491126 0.005876437850887428
136 60 99 0.39813401122669495 0.0018659887733050717
145 19 46 0.39711542564949304 0.0028845743505069854
146 19 99 0.396241485190248 0.0037585148097520338
150 3 97 0.3924512288330629 0.0075487711669371405
151 3 97 0.3924512288330629 0.0075487711669371405
169 21 62 0.39240453770621797 0.0075954622937820515
169 21 82 0.39413553617245906 0.005864463827540967
172 45 73 0.39082648238307827 0.009173517616921756
175 64 68 0.3957156047553184 0.004284395244681605
178 56 84 0.3969718582700434 0.003028141729956635
180 45 82 0.39117038705688256 0.00882961294311746
181 34 85 0.39811568482106074 0.0018843151789392776
182 34 85 0.39811568482106074 0.0018843151789392776
183 65 73 0.39791356762989344 0.0020864323701065834
185 5 38 0.39291504140806544 0.007084958591934587
194 34 78 0.39051823303089356 0.009481766969106464
201 5 38 0.3970194412506359 0.0029805587493641483
203 22 23 0.3977520240902009 0.002247975909799138
217 23 69 0.3924099323109312 0.007590067689068836
218 23 69 0.3924099323109312 0.007590067689068836
219 59 68 0.39328679178762377 0.006713208212376254
220 76 88 0.39917596482520995 8.24035174790072E-4
234 72 88 0.39957885968910084 4.211403108991818E-4
235 4 74 0.3966936896821967 0.003306310317803318
244 93 98 0.39297878666186775 0.0070212133381322706
247 28 52 0.39719454762339235 0.0028054523766076755
252 42 92 0.3966327526377024 0.0033672473622975985
255 21 26 0.3966518899635813 0.0033481100364187166
256 11 12 0.3901450576022141 0.009854942397785948
256 66 87 0.3926682101910897 0.007331789808910305
257 11 80 0.3936322106122919 0.0063677893877081004
260 24 71 0.3984767987538293 0.0015232012461707245
261 24 71 0.3984767987538293 0.0015232012461707245
264 9 23 0.39331058735910285 0.006689412640897174
265 9 23 0.39331058735910285 0.006689412640897174
276 14 53 0.393293105519777 0.006706894480223047
291 27 41 0.38967736786763785 0.010322632132362175
291 27 60 0.38986812689569306 0.010131873104306965
295 20 60 0.39869820891255037 0.0013017910874496552
296 20 60 0.39869820891255037 0.0013017910874496552
297 3 43 0.3941748900826204 0.005825109917379612
297 20 60 0.39869820891255037 0.0013017910874496552
299 38 66 0.3944452578694839 0.005554742130516099
299 72 92 0.3949137932249704 0.005086206775029634
301 55 86 0.39056403053255956 0.009435969467440464
314 25 96 0.3988093953059993 0.0011906046940007298
316 1 86 0.39025103666230737 0.009748963337692651
316 76 86 0.3910288991230403 0.008971100876959737
317 18 82 0.3934799665029819 0.0065200334970181295
317 36 96 0.39131334742689267 0.008686652573107356
319 2 38 0.3963600396386767 0.0036399603613233023
322 49 82 0.39369316188780085 0.006306838112199176
326 10 64 0.3904371879980328 0.009562812001967236
329 34 73 0.39384495473172487 0.00615504526827515
332 45 87 0.3947846176333843 0.005215382366615728
337 10 30 0.3916712602395205 0.008328739760479542
343 1 77 0.39524392441837114 0.0047560755816288824
344 11 89 0.39767423556610215 0.00232576443389787
344 32 70 0.3935577560150675 0.006442243984932539
345 11 89 0.39767423556610215 0.00232576443389787
350 30 68 0.39751391809165887 0.0024860819083411534
352 9 76 0.3982690603227046 0.0017309396772954289
352 16 57 0.39261755724739117 0.007382442752608853
353 16 57 0.39261755724739117 0.007382442752608853
353 69 77 0.39789350429006604 0.0021064957099339865
355 8 26 0.3944707040219089 0.005529295978091098
358 64 87 0.3944981317554441 0.005501868244555896
358 76 91 0.39501389911672435 0.004986100883275668
359 76 91 0.39501389911672435 0.004986100883275668
362 3 87 0.3961339317915772 0.003866068208422835
366 60 64 0.39787379305489645 0.0021262069451035703
367 16 99 0.3998127862588482 1.8721374115182599E-4
368 9 74 0.3979502805551891 0.0020497194448109157
368 15 76 0.39308023115784374 0.006919768842156282
370 12 88 0.3983283761043418 0.0016716238956582252
372 8 63 0.39984419228328605 1.5580771671397375E-4
374 11 12 0.3971374916981032 0.0028625083018968267
376 2 26 0.3919757406576093 0.008024259342390705
376 21 63 0.3942670691070429 0.005732930892957122
378 11 39 0.398180909399062 0.0018190906009380448
378 22 26 0.39257824309094935 0.00742175690905067
