timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 1 2 0.3984400821142364 0.0015599178857635954
30 11 13 0.39759328923708387 0.0024067107629161533
30 13 20 0.3698428981667139 0.030157101833286126
31 11 13 0.3699465259578989 0.030053474042101125
31 13 20 0.37411797601175617 0.025882023988243852
33 6 13 0.3935477696011407 0.006452230398859338
39 5 6 0.38675139255848984 0.013248607441510185
40 5 6 0.3879458084979628 0.012054191502037237
43 5 7 0.3778201543260556 0.02217984567394443
44 5 7 0.3476961842679309 0.0523038157320691
45 5 7 0.3611677056458505 0.03883229435414953
47 4 5 0.3971438753255968 0.0028561246744032154
