timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 2 3 0.3954165740279775 0.004583425972022548
2 24 25 0.3987944567023888 0.0012055432976112446
3 1 2 0.397623159674304 0.002376840325696017
3 2 3 0.3901237402567387 0.00987625974326134
4 1 2 0.39759927404635576 0.002400725953644267
28 6 12 0.3966530761242897 0.0033469238757103392
29 6 12 0.37514265013288234 0.024857349867117684
30 6 12 0.3700496194573892 0.029950380542610844
33 6 26 0.3773183177983297 0.022681682201670328
34 11 12 0.365617717815829 0.034382282184171
34 16 29 0.3834328612257881 0.016567138774211898
35 11 12 0.3253866230202985 0.0746133769797015
35 11 25 0.38410154406225727 0.01589845593774275
36 11 12 0.3109719552762514 0.08902804472374864
36 11 25 0.3102457650988444 0.08975423490115564
37 11 12 0.35653733719270947 0.04346266280729055
37 11 25 0.3705938414006557 0.029406158599344312
44 10 17 0.3510348455870326 0.04896515441296745
45 10 17 0.38662901788493886 0.013370982115061159
47 4 10 0.38583848910805424 0.014161510891945783
48 4 10 0.35797490938519666 0.04202509061480336
