timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
15 67 86 0.3977985390405368 0.0022014609594632195
21 5 24 0.39893284965981335 0.0010671503401866733
28 9 13 0.39637980601462425 0.0036201939853757747
40 30 59 0.39446032807136033 0.005539671928639689
49 42 84 0.39308288827093524 0.006917111729064784
58 25 88 0.39689264951242564 0.0031073504875743785
76 55 81 0.3926968527675255 0.0073031472324745494
82 2 84 0.3948108639560357 0.005189136043964315
84 36 96 0.3977273356474631 0.002272664352536924
101 15 50 0.39571318106402015 0.004286818935979875
112 35 87 0.39476881937145586 0.005231180628544163
139 26 97 0.39866144208815785 0.0013385579118421753
158 35 57 0.39730529846944035 0.0026947015305596733
159 35 57 0.39730529846944035 0.0026947015305596733
171 6 85 0.3920575816759391 0.007942418324060896
172 2 27 0.39701557617553773 0.00298442382446229
173 2 27 0.39701557617553773 0.00298442382446229
173 26 39 0.39530184859727274 0.00469815140272728
177 28 96 0.392363989079641 0.007636010920359038
177 85 96 0.39344443650126987 0.006555563498730155
181 2 38 0.3924726099454633 0.007527390054536731
183 9 77 0.39564613688519773 0.004353863114802292
185 22 26 0.39797109936463465 0.0020289006353653716
187 2 64 0.3910324876487451 0.008967512351254925
190 10 26 0.39709353668912556 0.002906463310874463
198 45 70 0.3917690439139786 0.008230956086021424
208 14 17 0.39102182665525403 0.008978173344745988
213 34 71 0.392580707053484 0.0074192929465159985
219 83 84 0.3917157744731648 0.00828422552683522
220 83 84 0.3917157744731648 0.00828422552683522
222 70 97 0.394356861706168 0.005643138293832006
226 71 74 0.39628400341309045 0.0037159965869095757
228 11 82 0.3959806594930579 0.004019340506942137
229 11 82 0.3959806594930579 0.004019340506942137
249 11 81 0.3948812395410572 0.005118760458942828
249 25 81 0.3946027511058105 0.005397248894189521
252 19 46 0.39694069472025856 0.0030593052797414644
253 19 46 0.39694069472025856 0.0030593052797414644
254 19 71 0.39131175931045487 0.008688240689545157
257 11 33 0.39492194764511523 0.005078052354884788
257 44 59 0.39630706340971583 0.0036929365902841904
275 27 88 0.39047086941846726 0.009529130581532763
276 27 88 0.39047086941846726 0.009529130581532763
282 11 37 0.39941203009300036 5.879699069996636E-4
286 30 100 0.39593766487893534 0.004062335121064686
288 36 79 0.3997856141764274 2.1438582357263813E-4
294 45 100 0.39978534294927937 2.1465705072065688E-4
295 45 100 0.39978534294927937 2.1465705072065688E-4
297 22 64 0.3977688888131993 0.0022311111868007494
297 88 100 0.3963635493481904 0.0036364506518096196
298 88 100 0.3963635493481904 0.0036364506518096196
301 55 64 0.39212474297427413 0.00787525702572589
302 55 64 0.39212474297427413 0.00787525702572589
307 45 60 0.39733654477026065 0.0026634552297393754
311 5 72 0.3933503256871066 0.006649674312893428
312 51 61 0.39812737228157064 0.0018726277184293871
322 41 73 0.3982622897062595 0.0017377102937405353
323 41 73 0.3982622897062595 0.0017377102937405353
324 41 73 0.39514517736344723 0.004854822636552791
348 28 54 0.3925915167762598 0.007408483223740214
349 28 54 0.3925915167762598 0.007408483223740214
351 7 46 0.3978266593518301 0.0021733406481699302
352 28 54 0.39812980417487787 0.0018701958251221562
353 3 84 0.3948145095930137 0.005185490406986348
354 7 64 0.391541608267036 0.008458391732964032
357 24 32 0.39366089597415777 0.006339104025842257
358 12 80 0.3990814360109798 9.18563989020238E-4
360 51 65 0.39816849296850826 0.0018315070314917636
364 12 37 0.39802835534714803 0.0019716446528519893
365 12 37 0.39802835534714803 0.0019716446528519893
367 37 47 0.3911508448318028 0.008849155168197231
368 37 47 0.3911508448318028 0.008849155168197231
372 5 10 0.3939503335526787 0.0060496664473213
372 5 34 0.39951423079330445 4.8576920669557433E-4
373 5 10 0.3939503335526787 0.0060496664473213
373 5 34 0.39951423079330445 4.8576920669557433E-4
374 9 10 0.3917750128007153 0.008224987199284717
381 28 99 0.3947962714001537 0.005203728599846302
383 27 49 0.39969746367284953 3.025363271504933E-4
385 24 99 0.39673593437597704 0.0032640656240229826
386 24 99 0.39673593437597704 0.0032640656240229826
386 30 49 0.39492725381717547 0.00507274618282455
386 57 91 0.3930756607746139 0.0069243392253861
387 12 18 0.3980593323916441 0.0019406676083559282
387 94 99 0.3962575325985 0.003742467401500027
389 20 25 0.3946593114506871 0.005340688549312911
389 69 99 0.3956446853384774 0.0043553146615226135
398 20 68 0.3963960086534738 0.003603991346526225
398 25 68 0.39173668762846137 0.008263312371538656
399 14 84 0.39172223622167623 0.008277763778323788
400 14 84 0.39172223622167623 0.008277763778323788
400 20 94 0.3967298894224771 0.003270110577522911
400 43 94 0.391086791712009 0.008913208287991026
406 2 53 0.39888307880873575 0.0011169211912642751
407 2 53 0.39888307880873575 0.0011169211912642751
408 53 65 0.39869878846561474 0.0013012115343852826
409 20 51 0.3981334402420518 0.0018665597579482496
409 92 95 0.3917658106871463 0.008234189312853746
410 20 51 0.3981334402420518 0.0018665597579482496
411 1 6 0.39167538237925004 0.008324617620749986
412 31 87 0.3968082300376509 0.0031917699623491003
413 57 78 0.3952952421101593 0.004704757889840705
416 11 34 0.39270249622566805 0.00729750377433197
416 27 34 0.3937343683695084 0.006265631630491597
417 11 34 0.39270249622566805 0.00729750377433197
417 14 20 0.3930646038653109 0.006935396134689131
418 5 9 0.3905747865946971 0.009425213405302946
418 16 40 0.39257882176022374 0.007421178239776283
418 30 34 0.3883784483055742 0.011621551694425802
419 16 40 0.39257882176022374 0.007421178239776283
419 83 89 0.3974001514239494 0.002599848576050612
420 16 40 0.39257882176022374 0.007421178239776283
421 16 40 0.39257882176022374 0.007421178239776283
427 4 14 0.39425662727288274 0.00574337272711728
427 14 20 0.394360166483575 0.005639833516424997
430 27 57 0.3998706506298352 1.2934937016484405E-4
431 23 44 0.3958270336517798 0.004172966348220231
434 1 92 0.3958253574574452 0.004174642542554841
434 16 55 0.3981288223493024 0.0018711776506976086
434 26 57 0.3943177795500784 0.005682220449921616
434 27 97 0.3944403828087102 0.005559617191289834
438 6 15 0.3919611213205642 0.008038878679435812
439 6 15 0.3919611213205642 0.008038878679435812
439 42 44 0.3992598613124345 7.401386875655058E-4
439 63 64 0.39593091855595725 0.004069081444042777
439 63 66 0.39601551160093124 0.003984488399068786
440 26 30 0.3904524739260951 0.00954752607390491
444 1 26 0.3956996650289971 0.004300334971002906
447 1 66 0.39762667020840164 0.0023733297915983775
447 42 83 0.3908299564769329 0.009170043523067106
454 15 72 0.3883893656273637 0.01161063437263632
457 63 74 0.3949483279403453 0.005051672059654733
464 42 48 0.3976433051846445 0.002356694815355498
464 48 100 0.39586750520426833 0.004132494795731689
465 42 48 0.3976433051846445 0.002356694815355498
465 48 100 0.39586750520426833 0.004132494795731689
469 45 97 0.3921829481057295 0.00781705189427051
474 59 70 0.38872616376678815 0.011273836233211876
475 54 69 0.39742628914922457 0.002573710850775457
476 54 69 0.39742628914922457 0.002573710850775457
479 72 94 0.3937832060787813 0.006216793921218711
493 54 77 0.399742160324259 2.5783967574100064E-4
499 28 43 0.39382805979902535 0.006171940200974668
500 28 43 0.39382805979902535 0.006171940200974668
500 28 65 0.39391673803360344 0.00608326196639658
503 69 91 0.3924461932585578 0.007553806741442237
517 65 95 0.3927651734404046 0.0072348265595953976
521 24 33 0.3938797815688334 0.006120218431166613
525 23 24 0.38970312780347005 0.010296872196529971
528 8 50 0.39676641047239986 0.003233589527600167
528 12 20 0.3944138792370273 0.005586120762972713
529 2 52 0.3940067175323397 0.0059932824676603436
529 39 71 0.3922806409893859 0.007719359010614102
530 2 52 0.3940067175323397 0.0059932824676603436
533 35 50 0.3904340291731487 0.009565970826851344
536 11 23 0.3952233340586081 0.004776665941391922
541 44 52 0.3923593851267455 0.007640614873254514
545 27 90 0.39442900370062567 0.005570996299374353
548 8 46 0.3929127545561119 0.007087245443888113
553 44 67 0.39460993849549747 0.005390061504502552
554 8 44 0.3969521409965313 0.0030478590034687114
559 63 67 0.395627148348365 0.004372851651635035
560 63 67 0.395627148348365 0.004372851651635035
562 15 56 0.39346901026746134 0.006530989732538683
563 15 56 0.39346901026746134 0.006530989732538683
565 30 79 0.39400638481322303 0.0059936151867769905
566 30 79 0.39400638481322303 0.0059936151867769905
567 30 79 0.39400638481322303 0.0059936151867769905
567 84 93 0.39380596362724624 0.006194036372753786
569 6 8 0.3928184578204694 0.007181542179530598
573 9 15 0.3915394301004474 0.008460569899552628
581 6 17 0.39860341198227217 0.0013965880177278511
581 42 84 0.3922190685677265 0.007780931432273541
582 6 17 0.39860341198227217 0.0013965880177278511
588 6 30 0.3974034376761019 0.0025965623238980995
597 17 48 0.398854809311254 0.0011451906887460228
598 17 48 0.398854809311254 0.0011451906887460228
609 17 76 0.394712077590484 0.005287922409516033
612 62 96 0.3906554889461316 0.00934451105386841
617 5 13 0.3908489683257128 0.009151031674287213
623 11 70 0.3910402146598093 0.008959785340190707
623 28 64 0.3914667129849788 0.008533287015021207
623 42 72 0.3979471170642792 0.0020528829357208123
635 39 94 0.39281116742543165 0.007188832574568371
641 39 80 0.3979009915794934 0.002099008420506643
642 39 95 0.39549008129776075 0.004509918702239268
646 5 88 0.39636290051620265 0.003637099483797368
650 23 28 0.39649320113499165 0.003506798865008376
651 23 28 0.39649320113499165 0.003506798865008376
654 22 79 0.3913278253243625 0.008672174675637523
655 95 100 0.393708530502913 0.006291469497087032
657 37 79 0.39776246191117953 0.00223753808882049
660 12 45 0.3938465534502782 0.0061534465497218305
661 12 45 0.3938465534502782 0.0061534465497218305
662 22 67 0.39073046707750936 0.009269532922490664
665 37 47 0.39251804035483745 0.0074819596451625725
669 51 62 0.3946002292623561 0.005399770737643916
669 76 92 0.3994106099935557 5.893900064443125E-4
670 3 87 0.3967255126431724 0.0032744873568276156
670 51 62 0.3946002292623561 0.005399770737643916
670 76 92 0.3994106099935557 5.893900064443125E-4
671 36 46 0.3940107236426778 0.005989276357322215
672 25 36 0.39732495185980504 0.00267504814019498
672 34 37 0.3991418353228067 8.58164677193296E-4
672 37 95 0.39646574320542516 0.0035342567945748637
672 52 68 0.39736196756358666 0.0026380324364133623
673 25 36 0.39732495185980504 0.00267504814019498
673 34 37 0.3991418353228067 8.58164677193296E-4
673 37 95 0.39646574320542516 0.0035342567945748637
680 8 95 0.3967382479579891 0.0032617520420109014
680 26 47 0.39340463843776297 0.0065953615622370565
681 9 17 0.396207296652605 0.00379270334739501
681 26 47 0.39340463843776297 0.0065953615622370565
682 9 17 0.396207296652605 0.00379270334739501
704 51 87 0.39752179996757475 0.0024782000324252706
714 51 81 0.39741246011463954 0.002587539885360479
715 2 76 0.3970416425510161 0.002958357448983928
715 46 76 0.3925783772333558 0.007421622766644209
715 76 97 0.3932876327166646 0.0067123672833354076
716 2 76 0.3970416425510161 0.002958357448983928
717 27 67 0.3929232103789723 0.0070767896210277015
718 20 76 0.39010100225802863 0.009898997741971394
718 27 67 0.3929232103789723 0.0070767896210277015
723 6 76 0.398645409467701 0.001354590532299027
724 6 76 0.398645409467701 0.001354590532299027
727 2 3 0.39349466629490865 0.006505333705091376
732 92 97 0.3974635330630213 0.002536466936978732
737 68 97 0.39170771457360376 0.008292285426396262
740 67 70 0.39525081030181325 0.004749189698186773
743 6 90 0.39463187200146893 0.0053681279985310915
752 8 27 0.39519343460170797 0.004806565398292051
755 46 93 0.39393207365635563 0.006067926343644392
757 11 52 0.39639303581554397 0.003606964184456052
757 28 46 0.3995650189111841 4.3498108881590003E-4
758 9 10 0.39585053315800334 0.004149466841996685
759 10 66 0.3934576028062681 0.006542397193731897
764 6 83 0.39871807843434387 0.0012819215656561522
764 36 43 0.3990299866488864 9.7001335111363E-4
765 36 43 0.3990299866488864 9.7001335111363E-4
771 14 63 0.39564313825588415 0.00435686174411587
