pedestrianId simTime endTime-PID1 startX-PID1 startY-PID1 endX-PID1 endY-PID1 targetId-PID2
1 0.0 0.4 1.201 7.401 1.2130772233400458 7.3673843437974185 1
2 0.0 0.4 1.6030000000000002 7.401 1.6163143885070468 7.365931570891668 1
3 0.0 0.4 2.005 7.401 2.016866264081747 7.370104692669738 1
4 0.0 0.4 2.407 7.401 2.4183760833765326 7.370512377782883 1
5 0.0 0.4 2.809 7.401 2.8197998162414017 7.37689473469702 1
6 0.0 0.4 3.2110000000000003 7.401 3.24382178428474 7.369004778313195 1
7 0.0 0.4 3.613 7.401 3.7463137121870123 7.3646584560912425 1
8 0.0 0.4 1.201 7.803 1.2011484561076164 7.806289288702005 1
9 0.0 0.4 1.6030000000000002 7.803 1.6124818225115622 7.83361415314188 1
10 0.0 0.4 2.005 7.803 2.018183925653261 7.862248677962448 1
11 0.0 0.4 2.407 7.803 2.4194983644175077 7.8609918962060625 1
12 0.0 0.4 2.809 7.803 2.823167956034647 7.851212448301965 1
13 0.0 0.4 3.2110000000000003 7.803 3.259769284537534 7.869629662240003 1
14 0.0 0.4 3.613 7.803 3.7713932434292095 7.871062817230247 1
15 0.0 0.4 1.201 8.205 1.358997571380206 8.3000471098654 1
1 0.4 0.8 1.2130772233400458 7.3673843437974185 1.2330207139739007 7.327284043050832 1
2 0.4 0.8 1.6163143885070468 7.365931570891668 1.6342908762910833 7.329503725221086 1
3 0.4 0.8 2.016866264081747 7.370104692669738 2.0323904892456373 7.355605577467784 1
4 0.4 0.8 2.4183760833765326 7.370512377782883 2.4389292387493677 7.355780772031104 1
5 0.4 0.8 2.8197998162414017 7.37689473469702 2.8870313580853875 7.359643733171078 1
6 0.4 0.8 3.24382178428474 7.369004778313195 3.4663942789161686 7.3648006891390745 1
7 0.4 0.8 3.7463137121870123 7.3646584560912425 4.052619731120243 7.364059046298724 1
8 0.4 0.8 1.2011484561076164 7.806289288702005 1.215728590783419 7.842450642387376 1
9 0.4 0.8 1.6124818225115622 7.83361415314188 1.630369757315081 7.845510946340246 1
10 0.4 0.8 2.018183925653261 7.862248677962448 2.0456626025166313 7.91483889583171 1
11 0.4 0.8 2.4194983644175077 7.8609918962060625 2.4656532519667085 7.9191536199291335 1
12 0.4 0.8 2.823167956034647 7.851212448301965 2.9509802387999704 7.908312762112623 1
13 0.4 0.8 3.259769284537534 7.869629662240003 3.5547643126247896 7.949420905965818 1
14 0.4 0.8 3.7713932434292095 7.871062817230247 4.14519093540402 7.950722489672038 1
15 0.4 0.8 1.358997571380206 8.3000471098654 1.7505263744972026 8.415168316341605 1
1 0.8 1.2000000000000002 1.2330207139739007 7.327284043050832 1.249470489063016 7.320220149454256 1
2 0.8 1.2000000000000002 1.6342908762910833 7.329503725221086 1.6522078142526078 7.304511741014558 1
3 0.8 1.2000000000000002 2.0323904892456373 7.355605577467784 2.062511388621958 7.35440444611427 1
4 0.8 1.2000000000000002 2.4389292387493677 7.355780772031104 2.560447769928232 7.36572189335587 1
5 0.8 1.2000000000000002 2.8870313580853875 7.359643733171078 3.1479307738155478 7.371123517020113 1
6 0.8 1.2000000000000002 3.4663942789161686 7.3648006891390745 3.865649897175483 7.416808893782023 1
7 0.8 1.2000000000000002 4.052619731120243 7.364059046298724 4.4325049199103566 7.410032952704759 1
8 0.8 1.2000000000000002 1.215728590783419 7.842450642387376 1.2451897787032356 7.89442291112895 1
9 0.8 1.2000000000000002 1.630369757315081 7.845510946340246 1.6574692183710533 7.859849253537662 1
10 0.8 1.2000000000000002 2.0456626025166313 7.91483889583171 2.134722238423483 7.92649166454409 1
11 0.8 1.2000000000000002 2.4656532519667085 7.9191536199291335 2.6788162910710764 7.961921790098973 1
12 0.8 1.2000000000000002 2.9509802387999704 7.908312762112623 3.272119941395913 7.959657641772241 1
13 0.8 1.2000000000000002 3.5547643126247896 7.949420905965818 4.035649407719669 8.016339680329473 1
14 0.8 1.2000000000000002 4.14519093540402 7.950722489672038 4.618464474655697 8.009890487925942 1
15 0.8 1.2000000000000002 1.7505263744972026 8.415168316341605 2.2515177636075765 8.507736673846829 1
1 1.2000000000000002 1.6 1.249470489063016 7.320220149454256 1.2698570789324988 7.331637897315748 1
2 1.2000000000000002 1.6 1.6522078142526078 7.304511741014558 1.7187730821565288 7.29575989950801 1
3 1.2000000000000002 1.6 2.062511388621958 7.35440444611427 2.270784154187639 7.371673993391165 1
4 1.2000000000000002 1.6 2.560447769928232 7.36572189335587 2.9057960014001853 7.406665741769824 1
5 1.2000000000000002 1.6 3.1479307738155478 7.371123517020113 3.511511641282439 7.410068716545207 1
6 1.2000000000000002 1.6 3.865649897175483 7.416808893782023 4.287816517624317 7.495485147647396 1
7 1.2000000000000002 1.6 4.4325049199103566 7.410032952704759 4.844396220860695 7.47331539570302 1
8 1.2000000000000002 1.6 1.2451897787032356 7.89442291112895 1.3060681240864005 7.940143059028654 1
9 1.2000000000000002 1.6 1.6574692183710533 7.859849253537662 1.787309111077643 7.883849509494846 1
10 1.2000000000000002 1.6 2.134722238423483 7.92649166454409 2.451048946802671 7.96316947059954 1
11 1.2000000000000002 1.6 2.6788162910710764 7.961921790098973 3.0749381694156566 8.00430447758069 1
12 1.2000000000000002 1.6 3.272119941395913 7.959657641772241 3.6731554195167857 8.006417558280534 1
13 1.2000000000000002 1.6 4.035649407719669 8.016339680329473 4.558987396394661 8.08109719193303 1
14 1.2000000000000002 1.6 4.618464474655697 8.009890487925942 5.1349431509405585 8.064684990018158 1
15 1.2000000000000002 1.6 2.2515177636075765 8.507736673846829 2.8056293755692185 8.545298255862521 1
1 1.6 2.0 1.2698570789324988 7.331637897315748 1.4110664894891023 7.356588617701192 1
2 1.6 2.0 1.7187730821565288 7.29575989950801 2.026190684200758 7.3179101924321595 1
3 1.6 2.0 2.270784154187639 7.371673993391165 2.682373536533364 7.420887852687729 1
4 1.6 2.0 2.9057960014001853 7.406665741769824 3.3382739315000327 7.4586834934778965 1
5 1.6 2.0 3.511511641282439 7.410068716545207 3.920120572116619 7.460148097718984 1
6 1.6 2.0 4.287816517624317 7.495485147647396 4.7169787255102005 7.586256515514436 1
7 1.6 2.0 4.844396220860695 7.47331539570302 5.271182613490822 7.540315706707045 1
8 1.6 2.0 1.3060681240864005 7.940143059028654 1.5009075686435112 7.983121059303673 1
9 1.6 2.0 1.787309111077643 7.883849509494846 2.0396447210473867 7.917574653226835 1
10 1.6 2.0 2.451048946802671 7.96316947059954 2.918437956738539 8.008692945755586 1
11 1.6 2.0 3.0749381694156566 8.00430447758069 3.5315949654577574 8.036586614912165 1
12 1.6 2.0 3.6731554195167857 8.006417558280534 4.10965995994421 8.053160286786452 1
13 1.6 2.0 4.558987396394661 8.08109719193303 5.094550734313415 8.148147479291028 1
14 1.6 2.0 5.1349431509405585 8.064684990018158 5.670510120554091 8.12011300011677 1
15 1.6 2.0 2.8056293755692185 8.545298255862521 3.377926927035443 8.6087394134701 1
1 2.0 2.4 1.4110664894891023 7.356588617701192 1.7779882975908052 7.400728052886783 1
2 2.0 2.4 2.026190684200758 7.3179101924321595 2.4845711444669627 7.361055041785244 1
3 2.0 2.4 2.682373536533364 7.420887852687729 3.177800088532234 7.483233958310236 1
4 2.0 2.4 3.3382739315000327 7.4586834934778965 3.7702722965361195 7.504050837269015 1
5 2.0 2.4 3.920120572116619 7.460148097718984 4.349040640580093 7.514372060955642 1
6 2.0 2.4 4.7169787255102005 7.586256515514436 5.155013621901816 7.684434133353298 1
7 2.0 2.4 5.271182613490822 7.540315706707045 5.705470183998167 7.603654913967291 1
8 2.0 2.4 1.5009075686435112 7.983121059303673 1.8102474419071648 8.037782337925071 1
9 2.0 2.4 2.0396447210473867 7.917574653226835 2.342520080035628 7.957336737697706 1
10 2.0 2.4 2.918437956738539 8.008692945755586 3.415890399037673 8.060041385869125 1
11 2.0 2.4 3.5315949654577574 8.036586614912165 3.9868465123778187 8.066273996306142 1
12 2.0 2.4 4.10965995994421 8.053160286786452 4.562049712554116 8.100274618650284 1
13 2.0 2.4 5.094550734313415 8.148147479291028 5.639582287651919 8.22501385343142 1
14 2.0 2.4 5.670510120554091 8.12011300011677 6.214589564951257 8.176437582789001 1
15 2.0 2.4 3.377926927035443 8.6087394134701 3.9600313213572433 8.666466917625025 1
1 2.4 2.8 1.7779882975908052 7.400728052886783 2.2456500920050693 7.458686346593869 1
2 2.4 2.8 2.4845711444669627 7.361055041785244 3.00665650940333 7.427948628897931 1
3 2.4 2.8 3.177800088532234 7.483233958310236 3.6380490939430428 7.543326748384945 1
4 2.4 2.8 3.7702722965361195 7.504050837269015 4.20646635823114 7.546398838366346 1
5 2.4 2.8 4.349040640580093 7.514372060955642 4.78719187343059 7.569611046312746 1
6 2.4 2.8 5.155013621901816 7.684434133353298 5.601047448659539 7.791258191324338 1
7 2.4 2.8 5.705470183998167 7.603654913967291 6.142712683721551 7.668112877469361 1
8 2.4 2.8 1.8102474419071648 8.037782337925071 2.1474536735401575 8.105660007468215 1
9 2.4 2.8 2.342520080035628 7.957336737697706 2.6691232834423277 7.9909503650033065 1
10 2.4 2.8 3.415890399037673 8.060041385869125 3.8750778378243753 8.116557442948606 1
11 2.4 2.8 3.9868465123778187 8.066273996306142 4.442956583859856 8.102408824727895 1
12 2.4 2.8 4.562049712554116 8.100274618650284 5.021570719359403 8.147602087213597 1
13 2.4 2.8 5.639582287651919 8.22501385343142 6.190696323970632 8.302171032756183 1
14 2.4 2.8 6.214589564951257 8.176437582789001 6.76249424194003 8.233159970663191 1
15 2.4 2.8 3.9600313213572433 8.666466917625025 4.547703987179519 8.707159370386412 1
1 2.8 3.1999999999999997 2.2456500920050693 7.458686346593869 2.7591743265433495 7.5034168808224235 1
2 2.8 3.1999999999999997 3.00665650940333 7.427948628897931 3.522055840877456 7.49598871803721 1
3 2.8 3.1999999999999997 3.6380490939430428 7.543326748384945 4.076692818985436 7.605117732813449 1
4 2.8 3.1999999999999997 4.20646635823114 7.546398838366346 4.649904067649297 7.594112151409066 1
5 2.8 3.1999999999999997 4.78719187343059 7.569611046312746 5.22969742550429 7.623640570717919 1
6 2.8 3.1999999999999997 5.601047448659539 7.791258191324338 6.053821127469661 7.907948544514435 1
7 2.8 3.1999999999999997 6.142712683721551 7.668112877469361 6.580680669660304 7.737016168042576 1
8 2.8 3.1999999999999997 2.1474536735401575 8.105660007468215 2.499667183426345 8.187260644810557 1
9 2.8 3.1999999999999997 2.6691232834423277 7.9909503650033065 3.0060063734897726 8.024926573771689 1
10 2.8 3.1999999999999997 3.8750778378243753 8.116557442948606 4.331697940237633 8.173500069940879 1
11 2.8 3.1999999999999997 4.442956583859856 8.102408824727895 4.9019735818559464 8.151924460419536 1
12 2.8 3.1999999999999997 5.021570719359403 8.147602087213597 5.484305661637833 8.194926690365829 1
13 2.8 3.1999999999999997 6.190696323970632 8.302171032756183 6.7429196052420295 8.375506048443944 1
14 2.8 3.1999999999999997 6.76249424194003 8.233159970663191 7.312121615693019 8.29002246176801 1
15 2.8 3.1999999999999997 4.547703987179519 8.707159370386412 5.137964567540099 8.735505973694107 1
1 3.1999999999999997 3.5999999999999996 2.7591743265433495 7.5034168808224235 3.2934369896548756 7.503156444675326 1
2 3.1999999999999997 3.5999999999999996 3.522055840877456 7.49598871803721 3.9680271266887845 7.550426777198159 1
3 3.1999999999999997 3.5999999999999996 4.076692818985436 7.605117732813449 4.521794208172258 7.668929005305191 1
4 3.1999999999999997 3.5999999999999996 4.649904067649297 7.594112151409066 5.096663989241086 7.651401916287329 1
5 3.1999999999999997 3.5999999999999996 5.22969742550429 7.623640570717919 5.674154700065698 7.677150520585983 1
6 3.1999999999999997 3.5999999999999996 6.053821127469661 7.907948544514435 6.516241769243481 8.036096324328094 1
7 3.1999999999999997 3.5999999999999996 6.580680669660304 7.737016168042576 7.019118304355696 7.806942225998721 1
8 3.1999999999999997 3.5999999999999996 2.499667183426345 8.187260644810557 2.8609413491576867 8.285808509526817 1
9 3.1999999999999997 3.5999999999999996 3.0060063734897726 8.024926573771689 3.3451963355426475 8.077377703328743 1
10 3.1999999999999997 3.5999999999999996 4.331697940237633 8.173500069940879 4.793334609774929 8.229096373401044 1
11 3.1999999999999997 3.5999999999999996 4.9019735818559464 8.151924460419536 5.365385034424373 8.213413970810842 1
12 3.1999999999999997 3.5999999999999996 5.484305661637833 8.194926690365829 5.948733957454856 8.238114454328928 1
13 3.1999999999999997 3.5999999999999996 6.7429196052420295 8.375506048443944 7.296000501511055 8.448282535419128 1
14 3.1999999999999997 3.5999999999999996 7.312121615693019 8.29002246176801 7.862515351528077 8.347023447088427 1
15 3.1999999999999997 3.5999999999999996 5.137964567540099 8.735505973694107 5.727614816968558 8.783428503693887 1
1 3.5999999999999996 3.9999999999999996 3.2934369896548756 7.503156444675326 3.8327354756032626 7.538979002332252 1
2 3.5999999999999996 3.9999999999999996 3.9680271266887845 7.550426777198159 4.413055989669414 7.604211391121524 1
3 3.5999999999999996 3.9999999999999996 4.521794208172258 7.668929005305191 4.968802046676592 7.7326815556147 1
4 3.5999999999999996 3.9999999999999996 5.096663989241086 7.651401916287329 5.543645934265238 7.715721113930661 1
5 3.5999999999999996 3.9999999999999996 5.674154700065698 7.677150520585983 6.119769358058646 7.728003906561325 1
6 3.5999999999999996 3.9999999999999996 6.516241769243481 8.036096324328094 6.99897044553736 8.178308614837587 1
7 3.5999999999999996 3.9999999999999996 7.019118304355696 7.806942225998721 7.45858304130275 7.872000615722686 1
8 3.5999999999999996 3.9999999999999996 2.8609413491576867 8.285808509526817 3.2382023940897287 8.403270250428468 1
9 3.5999999999999996 3.9999999999999996 3.3451963355426475 8.077377703328743 3.6869375324701306 8.126694722348212 1
10 3.5999999999999996 3.9999999999999996 4.793334609774929 8.229096373401044 5.256101223973946 8.284072663167192 1
11 3.5999999999999996 3.9999999999999996 5.365385034424373 8.213413970810842 5.827287371916942 8.276951128980773 1
12 3.5999999999999996 3.9999999999999996 5.948733957454856 8.238114454328928 6.407813182808835 8.270084609053262 1
13 3.5999999999999996 3.9999999999999996 7.296000501511055 8.448282535419128 7.850231325833274 8.5217175505137 1
14 3.5999999999999996 3.9999999999999996 7.862515351528077 8.347023447088427 8.413267667114981 8.403949250983382 1
15 3.5999999999999996 3.9999999999999996 5.727614816968558 8.783428503693887 6.315811253725521 8.851416117541312 1
1 3.9999999999999996 4.3999999999999995 3.8327354756032626 7.538979002332252 4.298140572648602 7.593952539703304 1
2 3.9999999999999996 4.3999999999999995 4.413055989669414 7.604211391121524 4.861762489791384 7.657694898286697 1
3 3.9999999999999996 4.3999999999999995 4.968802046676592 7.7326815556147 5.415768125979382 7.795773978516669 1
4 3.9999999999999996 4.3999999999999995 5.543645934265238 7.715721113930661 5.991018678696225 7.7820804849767615 1
5 3.9999999999999996 4.3999999999999995 6.119769358058646 7.728003906561325 6.566259704908715 7.7735738095436 1
6 3.9999999999999996 4.3999999999999995 6.99897044553736 8.178308614837587 7.5229991973537 8.33565148382901 1
7 3.9999999999999996 4.3999999999999995 7.45858304130275 7.872000615722686 7.899516484725591 7.927161232557009 1
8 3.9999999999999996 4.3999999999999995 3.2382023940897287 8.403270250428468 3.672330792375711 8.546723482104843 1
9 3.9999999999999996 4.3999999999999995 3.6869375324701306 8.126694722348212 4.032000666865093 8.15453232738893 1
