pedestrianId simTime endTime-PID1 startX-PID1 startY-PID1 endX-PID1 endY-PID1 targetId-PID2
1 0.0 0.4 1.201 7.401 1.2085881725492411 7.380408728393776 1
2 0.0 0.4 1.6030000000000002 7.401 1.61790131487417 7.362149220054418 1
3 0.0 0.4 2.005 7.401 2.0182549213548797 7.36692283958097 1
4 0.0 0.4 2.407 7.401 2.4195329156684924 7.368964636646623 1
5 0.0 0.4 2.809 7.401 2.8248319742421697 7.361420871330652 1
6 0.0 0.4 3.2110000000000003 7.401 3.2546206078841515 7.361385509486189 1
7 0.0 0.4 3.613 7.401 3.7826437721664194 7.344924400925947 1
8 0.0 0.4 1.201 7.803 1.2010214496947453 7.80283281208985 1
9 0.0 0.4 1.6030000000000002 7.803 1.6030670911119151 7.8025422898829015 1
10 0.0 0.4 2.005 7.803 2.0050457911051196 7.802683113091097 1
11 0.0 0.4 2.407 7.803 2.407181827427505 7.80299515002199 1
12 0.0 0.4 2.809 7.803 2.8093270410549764 7.803277695846878 1
13 0.0 0.4 3.2110000000000003 7.803 3.2234818174056863 7.803956063417755 1
14 0.0 0.4 3.613 7.803 3.793119218470755 7.810470703858809 1
15 0.0 0.4 1.201 8.205 1.2010024899569554 8.205711662836935 1
16 0.0 0.4 1.6030000000000002 8.205 1.603108119196163 8.20627034278797 1
17 0.0 0.4 2.005 8.205 2.0053029498713406 8.20721601585154 1
18 0.0 0.4 2.407 8.205 2.407547768503314 8.207916099306805 1
19 0.0 0.4 2.809 8.205 2.8318400648294757 8.274349177230613 1
20 0.0 0.4 3.2110000000000003 8.205 3.2446438190482896 8.257253385635735 1
21 0.0 0.4 3.613 8.205 3.741739819085844 8.269505168708923 1
22 0.0 0.4 1.201 8.607 1.2124175731249323 8.652842304036724 1
23 0.0 0.4 1.6030000000000002 8.607 1.615344167803911 8.653147087520745 1
24 0.0 0.4 2.005 8.607 2.0417964452212987 8.66591940703214 1
25 0.0 0.4 2.407 8.607 2.5640154067266896 8.707909220403952 1
1 0.4 0.8 1.2085881725492411 7.380408728393776 1.2212467064223256 7.345220713614714 1
