timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
31 21 43 0.39100403617231294 0.008995963827687081
34 43 64 0.3906760754648034 0.009323924535196648
38 41 93 0.39573340080940206 0.004266599190597964
44 44 47 0.39447811798660876 0.005521882013391266
50 49 52 0.39540880399322953 0.004591196006770493
51 16 76 0.3905644930481751 0.009435506951824935
54 39 43 0.3993201341496259 6.798658503741062E-4
54 56 100 0.3966151303057106 0.0033848696942894163
55 56 100 0.3966151303057106 0.0033848696942894163
63 17 57 0.3911244435102407 0.008875556489759295
85 22 78 0.39996067044884087 3.932955115915071E-5
86 4 22 0.39069593770871264 0.009304062291287385
86 8 16 0.3898117362787782 0.010188263721221835
86 22 42 0.3952866204763173 0.004713379523682726
86 23 82 0.3955879769690399 0.0044120230309601105
117 17 21 0.39353615662191727 0.0064638433780827564
128 67 80 0.39667697419115855 0.0033230258088414732
165 56 72 0.39038750948104717 0.009612490518952854
184 11 52 0.3929211113108355 0.007078888689164509
184 28 48 0.39699144959578 0.003008550404220045
238 23 68 0.39089880584393166 0.00910119415606836
244 15 66 0.3983367158709478 0.0016632841290522005
248 25 92 0.3965321443508155 0.0034678556491845036
259 35 94 0.39039574729781656 0.009604252702183458
260 7 28 0.3888178568145341 0.011182143185465898
262 83 84 0.3931239886820849 0.006876011317915098
307 2 62 0.3954578296136368 0.004542170386363231
308 16 91 0.39966143958816885 3.3856041183116803E-4
341 2 89 0.39113462834243895 0.008865371657561072
360 6 38 0.39651115056298475 0.0034888494370152734
370 73 91 0.3948607802243484 0.005139219775651627
391 42 58 0.39712727830225975 0.002872721697740277
408 39 58 0.3915368339781176 0.008463166021882407
415 46 67 0.39224503627831375 0.00775496372168627
416 46 67 0.39224503627831375 0.00775496372168627
417 58 71 0.39866762094484304 0.0013323790551569847
434 25 98 0.3912766188110252 0.00872338118897481
435 25 98 0.3912766188110252 0.00872338118897481
450 13 93 0.389744094239559 0.010255905760440998
458 57 66 0.3949909393133021 0.00500906068669793
464 27 84 0.3987681869107405 0.0012318130892595147
472 20 45 0.39613428213478546 0.0038657178652145574
