timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
19 89 96 0.39733202692648023 0.0026679730735197915
20 58 59 0.39595400538103825 0.004045994618961768
22 51 89 0.39608480382582817 0.003915196174171853
35 27 93 0.3943009409997711 0.005699059000228934
37 66 75 0.39379829154431834 0.006201708455681687
47 9 57 0.39900000750662756 9.99992493372459E-4
51 35 74 0.3995451446911751 4.5485530882494185E-4
51 49 74 0.3937656848059284 0.006234315194071638
58 45 85 0.3999167663830888 8.323361691120468E-5
59 57 61 0.39479643982818413 0.005203560171815891
61 1 68 0.3946872394859544 0.005312760514045611
61 25 55 0.3914192269888228 0.008580773011177212
61 65 72 0.38948166176469895 0.010518338235301072
62 1 68 0.3946872394859544 0.005312760514045611
63 48 51 0.3957034189736313 0.0042965810263687065
72 30 31 0.39970250775670424 2.974922432957827E-4
77 16 62 0.39263018394792254 0.0073698160520774825
80 69 83 0.3985337632264006 0.0014662367735994164
83 9 99 0.3943849728733837 0.005615027126616323
86 16 22 0.3997491337861102 2.50866213889811E-4
87 42 84 0.3899424333409448 0.010057566659055217
116 61 87 0.3924700705516469 0.007529929448353123
130 1 9 0.3907756670325736 0.009224332967426419
140 47 48 0.3932050813881807 0.006794918611819301
140 62 86 0.39347624445627066 0.006523755543729359
142 21 72 0.39366537958841863 0.006334620411581393
153 10 96 0.389907576106152 0.010092423893848013
156 10 45 0.3949961534654959 0.005003846534504142
157 34 97 0.39726695538196105 0.002733044618038971
164 48 76 0.3977387028960647 0.0022612971039353003
167 85 95 0.3988279108721581 0.0011720891278419465
172 47 95 0.3986041139932955 0.0013958860067045387
175 34 77 0.3934053056562996 0.0065946943437004135
175 68 90 0.3957411382048854 0.0042588617951146435
184 9 27 0.3955907827247715 0.0044092172752285275
184 9 32 0.3920466184105589 0.007953381589441144
195 15 49 0.39476629262136603 0.005233707378633989
206 39 84 0.39630653483678624 0.0036934651632137827
208 17 47 0.3984801152581321 0.0015198847418679273
235 34 61 0.39087153698406074 0.009128463015939281
236 68 72 0.3995920919043671 4.0790809563290287E-4
